Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
"Je hebt wel een bekend gezicht, maar ik weet het gewoon niet.","Je hebt wel een bekend gezicht, maar ik weet het gewoon niet.","You have a familiar face, but I just don't know it.",neutral,confusion,sadness,sadness
Misschien heb je hem gewoon ergens in een tijdschrift of zo gezien?,Misschien heb je hem gewoon ergens in een tijdschrift of zo gezien?,Maybe you just saw it in a magazine or something?,neutral,curiosity,neutral,neutral
"Nee, tijdschrift kan niet, maar misschien online.","Nee, tijdschrift kan niet, maar misschien online.","No, magazine is not possible, but maybe online.",anger,confusion,sadness,neutral
"Ja, hier zit een deel van de familie en vrienden van Lemie...","Ja, hier zit een deel van de familie en vrienden van Lemie...","Yes, some of Lemie's family and friends are here…",neutral,joy,happiness,neutral
"onze nieuwe bewoner, Brigitte, vrouw van Lemie.","onze nieuwe bewoner, Brigitte, vrouw van Lemie.","our new resident, Brigitte, wife of Lemie.",neutral,neutral,neutral,neutral
Lemie wil meedoen aan Big Brother...,Lemie wil meedoen aan Big Brother...,Lemie wants to participate in Big Brother...,neutral,excitement,happiness,neutral
maar dat betekent natuurlijk ook dat jij een beetje meedoet aan Big Brother.,maar dat betekent natuurlijk ook dat jij een beetje meedoet aan Big Brother.,but of course that also means that you participate a little in Big Brother.,neutral,realization,surprise,surprise
"Ja, zeker.","Ja, zeker.",Of course.,neutral,agreement,neutral,neutral
Hoe is het voor jou?,Hoe is het voor jou?,How is it for you?,neutral,curiosity,neutral,neutral
"Ja, superleuk. Spannend.","Ja, superleuk. Spannend.","Yes, super fun. Exciting.",happiness,excitement,happiness,happiness
Maar je moet hem natuurlijk ook gaan missen.,Maar je moet hem natuurlijk ook gaan missen.,But of course you will also miss him.,sadness,sadness,sadness,sadness
"Ja, maar weet je, ik zie hem op het beeld.","Ja, maar weet je, ik zie hem op het beeld.","Yeah, but you know, I see him in the picture.",neutral,relief,happiness,neutral
"Maar jullie zijn echt altijd samen, hè?","Maar jullie zijn echt altijd samen, hè?","But you guys are always together, aren't you?",surprise,curiosity,neutral,surprise
Altijd.,Altijd.,Always.,neutral,neutral,neutral,neutral
Hij zit ook gewoon glashard te liggen.,Hij zit ook gewoon glashard te liggen.,He also just sits there as hard as a rock.,neutral,admiration,happiness,happiness
"Zoekgeschiedenis, safari.","Zoekgeschiedenis, safari.","Search history, safari.",neutral,curiosity,neutral,neutral
Gisteren nog gezocht op...,Gisteren nog gezocht op...,Yesterday I searched for...,neutral,neutral,neutral,neutral
Waar staan overal camera's langs de snelweg?,Waar staan overal camera's langs de snelweg?,Where are there cameras along the highway?,neutral,curiosity,neutral,neutral
"Dus weet je wel, die vent zit er keihard in.","Dus weet je wel, die vent zit er keihard in.","So you know, this guy is really into it.",happiness,admiration,happiness,happiness
"Weet je wel, tot zijn vuist diep.","Weet je wel, tot zijn vuist diep.","You know, up to his fist deep.",neutral,amusement,happiness,neutral
"Maar goed, laten we maar het idee hebben dat we...","Maar goed, laten we maar het idee hebben dat we...","Anyway, let's just have the idea that we...",neutral,optimism,happiness,neutral
"Sterk, dat was het doel, hè? Ja.","Sterk, dat was het doel, hè? Ja.","Strong, that was the goal, right? Yes.",happiness,approval,happiness,happiness
Daar zijn ze. Daar zijn ze.,Daar zijn ze. Daar zijn ze.,There they are. There they are.,neutral,excitement,happiness,happiness
In Breda wordt het wachten van Bishan en Shiva beloond.,In Breda wordt het wachten van Bishan en Shiva beloond.,"In Breda, Bishan and Shiva's wait is rewarded.",neutral,relief,happiness,neutral
Het stel dat beloofde terug te komen staat nu voor ze.,Het stel dat beloofde terug te komen staat nu voor ze.,The couple who promised to return now stands before them.,neutral,joy,happiness,happiness
Ze hebben inderdaad een slaapplek geregeld.,Ze hebben inderdaad een slaapplek geregeld.,They did indeed arrange a place to sleep.,happiness,gratitude,happiness,happiness
"En twee studenten, die ze ieder moment opkomen halen.","En twee studenten, die ze ieder moment opkomen halen.","And two students, who will pick them up at any moment.",neutral,anticipation,happiness,happiness
Ik sta nu in het park. Weet me wel te vinden.,Ik sta nu in het park. Weet me wel te vinden.,I'm in the park now. You know where to find me.,neutral,neutral,neutral,neutral
Begin van die steiger. Top.,Begin van die steiger. Top.,Start of that scaffolding. Great.,happiness,approval,happiness,happiness
"Super, dank je wel. Dank je wel.","Super, dank je wel. Dank je wel.","Great, thank you. Thank you.",happiness,gratitude,happiness,happiness
Echt top.,Echt top.,Really great.,happiness,joy,happiness,happiness
Team 1 is inmiddels ook in Breda.,Team 1 is inmiddels ook in Breda.,Team 1 is now also in Breda.,neutral,neutral,neutral,neutral
Op het hoofdkwartier weten ze niet beter dan dat Bishan en Shiva...,Op het hoofdkwartier weten ze niet beter dan dat Bishan en Shiva...,"At headquarters, they know nothing better than that Bishan and Shiva...",neutral,confusion,sadness,neutral
ruim een uur geleden daar met de trein zijn aangekomen.,ruim een uur geleden daar met de trein zijn aangekomen.,arrived there by train just over an hour ago.,neutral,neutral,neutral,neutral
Michael en Bo proberen nu in kaart te brengen...,Michael en Bo proberen nu in kaart te brengen...,Michael and Bo are now trying to map out...,neutral,curiosity,neutral,neutral
wat de looproute van de jongens is geweest.,wat de looproute van de jongens is geweest.,what the boys' walking route was.,neutral,curiosity,neutral,neutral
We staan hier bij het Stadspark.,We staan hier bij het Stadspark.,We are standing here at the City Park.,neutral,neutral,neutral,neutral
"Op de kruising Willemstraat, Spoorstraat.","Op de kruising Willemstraat, Spoorstraat.",At the intersection of Willemstraat and Spoorstraat.,neutral,neutral,neutral,neutral
Daar heb je ook wifi-sensoren staan.,Daar heb je ook wifi-sensoren staan.,There you also have WiFi sensors.,neutral,neutral,neutral,neutral
Dus als daar gebeld is...,Dus als daar gebeld is...,So if there was a call...,neutral,curiosity,neutral,neutral
of als wij op de camera's mensen zien met telefoons...,of als wij op de camera's mensen zien met telefoons...,or when we see people with phones on the cameras...,neutral,curiosity,neutral,neutral
dan zou het zomaar kunnen zijn dat ze daar via een hotspot...,dan zou het zomaar kunnen zijn dat ze daar via een hotspot...,then it could well be that they got there via a hotspot...,neutral,realization,surprise,surprise
of een spot van de wifi zijn opgepakt.,of een spot van de wifi zijn opgepakt.,or a spot of the wifi has been picked up.,neutral,realization,surprise,surprise
Ik ga jullie even verder helpen. Top.,Ik ga jullie even verder helpen. Top.,I'll help you out a bit further. Great.,happiness,caring,happiness,happiness
Zorg dat je een beetje een route loopt.,Zorg dat je een beetje een route loopt.,Make sure you walk a bit of a route.,neutral,neutral,neutral,neutral
"Wat we ook kunnen doen, als wij een meter of 30 achter jullie lopen...","Wat we ook kunnen doen, als wij een meter of 30 achter jullie lopen...","Whatever we can do, if we walk about 30 meters behind you...",neutral,caring,happiness,neutral
