text,main_category,Emotion
"It seemed a little complicity, I don't know.",neutral,fear
Are you quieter to see Adri with Monica?,neutral,disgust
"I don't know your reasons,",sadness,fear
But I suppose they will be because it attracts more,neutral,fear
And it brings something else.,neutral,neutral
"So, maybe I worry a little.",fear,surprise
Do you think Monica can be your prototype?,neutral,disgust
"I think it can be your prototype, Sandra.",neutral,disgust
"You are very nervous, Mariona, now.",fear,neutral
"I don't understand it, uncle.",sadness,fear
"Aunt, but relieves, nothing happens.",happiness,sadness
Is that first with a ...,sadness,surprise
"After games, I don't know what,",sadness,fear
"And now with this, I see complicity ...",anger,fear
What's happening?,sadness,neutral
The thing is...,neutral,neutral
I trust Adri,neutral,sadness
And I haven't come here to distrust him.,neutral,fear
"I have come here to show me things,",neutral,fear
Not to have my sample.,neutral,disgust
"Are you okay, Mariona?",sadness,fear
"I don't know, now to see.",sadness,fear
I'm going to wet him.,anger,fear
"Aunt, what shame.",neutral,disgust
What a shame.,neutral,anger
"How shy it is, right?",happiness,anger
"No, Sísís.",neutral,happiness
"Come on, sup ...",neutral,sadness
"Uncle, what shame.",neutral,anger
"Look how shy, look.",happiness,anger
"I see my boyfriend comfortable, you know?",happiness,fear
"No, no, suffering is nothing.",neutral,sadness
But he goes to her.,sadness,happiness
"Yes, that's.",neutral,disgust
That is for a game.,neutral,anger
But what does it do? But what does it do?,sadness,surprise
"But look at it, the face that puts, uncle.",happiness,surprise
Here they are alone. Here they are alone.,neutral,disgust
"Yes, here they are alone, yes.",neutral,disgust
I spend something.,neutral,neutral
She is so quiet.,neutral,surprise
"I see it the same,",neutral,fear
But I do dislodge it so comfortable.,sadness,disgust
"Mariona, are you worried?",sadness,disgust
"I'm a little worried, yes.",fear,fear
Because I have never seen my boyfriend.,neutral,sadness
I need to understand ...,sadness,fear
"That look, Mariona.",neutral,anger
That look is ...,neutral,anger
What comes out when I think you can miss.,sadness,neutral
"I see that he does not think of me, that he does not respect me.",sadness,surprise
I see it comfortable.,neutral,fear
"I see him looking for her,",neutral,disgust
"that he likes what he does,",anger,sadness
That I did not imagine him.,surprise,sadness
Do you think Adri is remembering you?,neutral,disgust
I always tell him.,neutral,sadness
"Is that I give more in the relationship than you,",sadness,disgust
"He knows me badly, but he recognizes it to me.",surprise,disgust
"So, if he recognizes it to me and now he is doing that,",sadness,neutral
I know he is not thinking about me.,sadness,fear
I know it.,sadness,fear
There are more images for you.,neutral,disgust
With how calm it seemed ...,surprise,neutral
"My mother, the level of that town, I will tell you seriously.",anger,fear
I am also in shock.,surprise,disgust
I don't know how to react to those things.,sadness,fear
"You like you a lot, Moni.",happiness,surprise
Yes. I feel like knowing you.,neutral,surprise
I have never thought about ...,surprise,sadness
In being unfaithful.,anger,sadness
"Guests. Guests Puta, Colega.",disgust,anger
He doesn't want to look at me.,sadness,surprise
"Look, he doesn't want to look, huh.",anger,surprise
"What a lame, huh?",anger,happiness
Or it is stern wind.,sadness,neutral
Let's see if ...,neutral,anger
"What are you doing? What do you do, uncle?",sadness,fear
"It is at the limit, huh?",neutral,surprise
"Aunt, how strong, kid.",anger,anger
I don't understand.,sadness,fear
"That's, I don't understand.",sadness,fear
I did not imagine it at all in this situation,surprise,sadness
"so comfortable, lying with her,",anger,anger
much less the comment that I have released that I do not remember.,neutral,fear
That he had never thought to be unfaithful.,neutral,sadness
Until now. Until now.,surprise,anger
"And I like you a lot. Look, I hadn't heard it, uncle.",surprise,surprise
"Have you said that? Yes, it is open in stern.",neutral,disgust
That is open in stern.,neutral,neutral
"I have told him that I like Moni too, before.",neutral,disgust
"Well, I think it makes it very clear.",surprise,disgust
He says so.,neutral,happiness
Would you forgive an infidelity?,neutral,disgust
I have thought about it many times.,fear,disgust
It may be.,neutral,anger
But I would have to talk to him.,happiness,fear
And I would have to give me his explanations.,neutral,fear
But I don't know if it's because I love him very much.,sadness,disgust
I would affect me more a connection than a silly kiss.,fear,fear
I didn't expect it.,surprise,surprise
You have to analyze everything very well.,neutral,neutral
"Yes, I will think about everything well.",neutral,fear
But it's brutal.,sadness,anger
I am disappointed with Adri,sadness,fear
because I came to show me that I loved me,sadness,fear
and that I wanted a future with me.,neutral,fear
To show me that it has very clear things.,neutral,disgust
"And I declare, I don't see anything here.",sadness,fear
It is your turn.,neutral,anger
"See Borja letting Andrea,",anger,anger
You did not like it.,anger,surprise
Have you come to consider that Borja has disappointed you,sadness,fear
and even that you are ashamed of your attitude?,neutral,neutral
Those attitudes are ashamed.,anger,anger
I see it disrespect.,anger,fear
I do not understand how you have not been able to put a little brake.,anger,fear
There are images of Borja for you.,neutral,disgust
Do you want to see them alone? All.,neutral,disgust
Or with your companions. Forward.,neutral,disgust
We leave it and we finish the phrase.,neutral,anger
"Please, attentive to what it says. Please, everything.",neutral,happiness
You don't escape from me.,anger,surprise
"Look, out there.",neutral,surprise
I want football!,happiness,fear
I never have an average of you.,sadness,sadness
The nipple has been empitated.,sadness,happiness
What tells you your snake?,anger,disgust
He doesn't tell me anything good. Listen to it.,sadness,sadness
Listen to it.,neutral,disgust
Nothing good tells me.,sadness,neutral
You feel mine ...,neutral,surprise
This is very difficult.,anger,anger
"At first I told you that I had doubts, but not anymore.",surprise,disgust
Do you doubt what?,neutral,disgust
"Between Valeria or her, right?",sadness,happiness
I want to think that was that.,sadness,fear
"It is that every time I speak, I change the version.",anger,neutral
Now a connection worries.,fear,happiness
"Girls, I don't know what to say anymore.",sadness,fear
Why do you worry a connection now?,neutral,surprise
"I don't know, because of the phrases I was saying,",sadness,surprise
"Like, oh, how difficult, such.",neutral,disgust
"Yes, it is true that touching the hairy and that",sadness,disgust
I see it more connection.,surprise,fear
"I don't see it, in plan, guarro, dancing,",anger,fear
That was what I didn't want to see.,sadness,surprise
But I don't want to see this either.,anger,fear
"Do you think they have connected a little more, Andrea and him?",neutral,fear
I think they have connected a little more.,surprise,fear
"So, I think that in that situation I can empathize.",neutral,disgust
Because it happened to me.,surprise,surprise
"So, even if it hurts to see",sadness,sadness
"What a connection with another person can have, well ...",sadness,fear
"Well, I can understand it a little more.",surprise,fear
"He doesn't stop hurting me, he doesn't stop bothering me,",sadness,surprise
"But I don't have that feeling of shame, for now.",neutral,fear
And you already have?,neutral,fear
"Sí, TE.",neutral,neutral
Something is not right.,sadness,anger
"The cats, the cats!",happiness,fear
They all do the same.,anger,disgust
Do you listen to this?,anger,disgust
"¡And, and, and!",sadness,anger
"Hey, are you a bug or not?",anger,disgust
"Tomorrow touches the jacuzzi, go to your room.",neutral,disgust
"He will take you, I tell you.",neutral,fear
"I am on the edge of the precipice, making the yurio here.",fear,disgust
"Well, it falls.",neutral,anger
I am already at the limit.,anger,sadness
Tomorrow you put all the jacuzzi.,neutral,disgust
"To the limit of the precipice it will be, I already tell you,",fear,disgust
Because I'm going to push it.,anger,fear
This is what I didn't want to see.,sadness,surprise
"I didn't want to see it that way, and that's it.",sadness,sadness
"Already, I was prepared to see it.",surprise,fear
"Above things that come out of him, that still hurt my triple.",sadness,surprise
Obviously because he leaves him.,sadness,neutral
"It is not a game, it does not come out of it, it is already something of its mouth.",surprise,surprise
"I'm I don't want to cry again, that's it.",sadness,fear
"Yes, it is good to cry. That I don't want to cry again?",sadness,fear
"You have to take out talo, Ana. You are a person, that's it.",happiness,disgust
"I do not recognize it. Normal, normal.",sadness,disgust
"He genomed my boyfriend, Aunt.",anger,anger
It is as if it were another person.,sadness,anger
What would you say on Borja right now?,neutral,fear
I would tell you to be aware of what you are doing.,happiness,fear
"And what does it do, that does not regret it.",anger,surprise
"Because that, for me, a kiss, a kiss,",sadness,surprise
It has a lot of value.,happiness,surprise
"That's why I haven't given it yet,",happiness,sadness
"because for me it has incredible value,",happiness,anger
A very large meaning.,happiness,anger
"So, if he gives it, he is sure he gives it.",happiness,disgust
"That is not nonsense, nor a heating,",anger,fear
Not one who believed it was a connection.,anger,surprise
"No, that if he shit it, that he really shines,",anger,anger
with two balls and with all of the law.,anger,surprise
I've been with Borja for three and a half years,neutral,disgust
"And it looks like another person, completely different.",sadness,anger
I hope you can explain one day,anger,surprise
"What happens to him, because, honestly, I don't know who he is.",sadness,fear
Ruth is your turn.,neutral,anger
"In the previous bonfire, you were frozen.",fear,sadness
And you couldn't see Nico images.,sadness,disgust
This gesture has caused endless doubts,sadness,anger
"And, in addition, it has helped you think",surprise,fear
That Nico has been able to get carried away under the sheets.,anger,neutral
What do you expect to see tonight?,neutral,sadness
The reality of what I want to see,fear,fear
"It is a only one that puts limits, that stops,",neutral,surprise
"that knows where it is, to be aware,",neutral,anger
That is a friend of Ruth.,happiness,anger
"It is a child that is having a good time,",happiness,surprise
that increases its connection.,happiness,sadness
I hope I honestly make mistakes,happiness,disgust
with the person from under the sheet.,anger,surprise
"And if it is, then ...",neutral,anger
"I don't know, Sandra couldn't tell you how I could react.",sadness,disgust
There are images of Nico for you.,neutral,neutral
With my companions.,neutral,neutral
"Nicolás, by God.",anger,sadness
"He wins her, he wins!",happiness,anger
"¡Pau, Pau, Pau!",happiness,happiness
"Host, Pauli's movement, huh!",surprise,anger
Don't believe!,anger,disgust
"No, no, no!",fear,anger
"No, no, no, no, no, no, no.",fear,anger
I really like to receive love.,happiness,fear
I am very amimous.,happiness,fear
Are you a devil?,happiness,fear
This shit of this.,anger,happiness
"Sandra, I'm going to talk to you directly.",neutral,fear
"It disgusts me, you know? Those images disgust me.",disgust,fear
I keep seeing the same child I saw in the first hour.,sadness,disgust
"Because yes, because I have given him the luck to enter my life,",anger,fear
"to meet me, to know my values,",anger,surprise
to really meet a woman who really loves him,anger,neutral
get here and see me with the fucking ice.,anger,happiness
What do you do with ice?,neutral,surprise
"Knowing what it is, can you bother me?",anger,neutral
What are you doing?,neutral,disgust
What are you doing? That you are not a child?,anger,disgust
"Mature, uncle, and conquers it in another way,",anger,sadness
"Or that you conquered yourself in another way, not with the ice.",anger,sadness
"And innova, innova.",anger,surprise
Why do you think he does?,neutral,surprise
"Because he is a child, Sandra.",anger,disgust
"Because he is a child, because he is not thinking with the brain,",anger,disgust
He is thinking about the bottom.,anger,disgust
"And because, because, because he has no personality",anger,anger
and it is influenced.,anger,anger
"And for the atmosphere of the town, he ...",anger,anger
"Come, go ahead.",neutral,happiness
"Is that my balance falls, Sandra.",sadness,disgust
What Ruth has done is what Nico has done.,surprise,anger
"What a disgust, aunt, no, I can't see that, uncle.",disgust,fear
Take a fucking book.,anger,happiness
"I don't know, go see the fucking sea with aunt,",anger,disgust
"But don't do that, how disgusting.",disgust,anger
"That is not the person I fell in love, uncle.",sadness,fear
"Nico, did you fall in love with a book?",surprise,surprise
Nico fell in love with his values.,neutral,fear
"And yes, Sandra, with many books.",neutral,fear
"Not with an ice, it seems like a nerve.",anger,disgust
"I have been in the town, in my villa,",neutral,disgust
"Because my family, my boys, our singles,",happiness,sadness
"That they behave as gentlemen, we have had parties,",happiness,fear
"They have played and Ruth has been there to say, no.",anger,disgust
"But not for him, but because I think of me.",happiness,fear
"I say, I don't like that, values.",anger,fear
Conquest me differently.,happiness,anger
More Hielito for the child to be cooling.,happiness,disgust
"I have told you, aunt, I thought I was a child, aunt,",sadness,disgust
It wasn't a woman.,surprise,neutral
And it is a kid.,surprise,anger
"Mark the fucking difference, uncle, marks the difference, uncle.",anger,fear
"Márcala, uncle, marcala.",anger,anger
"Ah, look, how beautiful, complicity, look.",anger,happiness
Bride and groom.,anger,anger
Bésala of.,anger,anger
What do you want?,anger,fear
Did you do it to me when he met me?,neutral,surprise
"Look, that's how ...",neutral,anger
I forget everything.,happiness,disgust
It's fine with me.,happiness,surprise
"Santa Calicia, Chingo.",surprise,anger
I rethink things.,surprise,fear
The possibility of going alone.,neutral,anger
"Well, good, because ...",sadness,anger
"Is that sometimes that hurts, uncle, than ...",sadness,anger
That everything else.,neutral,neutral
"Now they all love each other, right?",sadness,happiness
"My mother, uncle.",surprise,anger
"What anger, uncle.",anger,anger
"I can't with these things, uncle.",anger,fear
It is a false.,anger,anger
I ask you to the head.,sadness,disgust
"That girl likes, really.",anger,anger
Why are you so sure?,neutral,disgust
"How treats her, how she speaks.",anger,surprise
He dies to kiss her.,anger,anger
"I want to go, Sandra.",disgust,fear
I can't be thinking here,anger,fear
In another person.,sadness,anger
I have to think about me.,surprise,fear
"Oh, with what you are worth, really.",sadness,fear
"No, I want to go to my house, uncle.",sadness,fear
I can't anymore.,anger,disgust
"The truth, really.",neutral,anger
You also deserve an application.,happiness,disgust
"And if he is going to shit it, let him shine.",anger,disgust
That he feels here and gives it to you.,neutral,disgust
"And that if he shits her, that he screws her up, uncle.",anger,anger
"Because if you go out with this, you forgive it.",neutral,surprise
Because there is nothing serious.,neutral,neutral
So this is forgiven.,neutral,surprise
But let him see how far he went.,anger,anger
"Let him be wrong, he will regret it.",anger,fear
That Nico considers to leave alone it already seems to me,sadness,neutral
The last thing I need to hear.,anger,neutral
"He gave me the ears that I was the wife of his life,",sadness,disgust
That not even the island with us,neutral,sadness
"And in sight until, look,",neutral,disgust
Neither the last bonfire nor the third bonfire already,neutral,fear
He tells me that he considers leaving alone.,sadness,happiness
Be separated from Alex,sadness,surprise
is helping you to know a part of you,surprise,fear
that until now you had not discovered.,neutral,disgust
You feel freer.,happiness,surprise
You are letting you take with Sergio,neutral,disgust
and living it now without thinking too much,neutral,happiness
in what is happening in the other villa.,neutral,neutral
But tonight you told me,neutral,sadness
"Yes, Sandra, for me to come here",surprise,disgust
It is a clash with reality.,surprise,neutral
"Although it seems not, I take it more to inside.",sadness,fear
"And the red light, I really hope, Sandra,",fear,fear
"I tell you from the heart,",sadness,surprise
that the red light that sounded after the second bonfire,fear,anger
Don't be my boyfriend.,fear,anger
Because it would be for spite.,anger,fear
I don't want a disreated person in my life.,anger,fear
I want a person who does the heart things,happiness,surprise
As I do.,neutral,fear
Do the right heart.,happiness,anger
THAT YOU THINK OF THE HEART.,happiness,disgust
May you lie with someone at heart.,happiness,surprise
"In spite, no.",anger,anger
There are images of Alex for you.,neutral,disgust
To the prepared.,neutral,surprise
"I'm sorry for how reactions, really.",sadness,fear
"No, you don't apologize all the time,",anger,disgust
that you are super badly used to apologize,anger,disgust
for everything you do.,anger,fear
It doesn't give me anger.,neutral,surprise
"What a disgust, aunt.",disgust,anger
"Aunt, is kissing my boyfriend, uncle.",anger,anger
"That girl is kissing my boyfriend, Aunt.",disgust,anger
"My mother, aunt.",anger,anger
"That is my boyfriend, aunt.",anger,anger
"Well, why wasn't it?",sadness,anger
"Ay, tía.",neutral,neutral
"Aunt, that's my boyfriend, uncle.",anger,anger
That is my boyfriend.,anger,anger
"In the end, what do you want?",sadness,surprise
What do you want? She is my daughter of mine.,sadness,surprise
It is what there is.,neutral,surprise
"I feel here and I give it, yes.",neutral,surprise
"Ah, now. It was clear, uncle.",surprise,anger
It is river.,neutral,anger
It is that it disgusts to see it.,disgust,anger
"What happens, Marieta?",neutral,anger
"Sandra, what a fucking disgust, uncle. What a shame.",disgust,surprise
It is the first boy I present at my house.,happiness,surprise
"It is the first one with which a Valentine's Day, an old night.",happiness,surprise
It is that boy who is eating the tits to one.,disgust,surprise
It is that.,neutral,anger
It is that I do not look like this.,sadness,disgust
"That we have specific moments because we are people,",neutral,anger
But it is that no.,neutral,anger
It is that in all the videos of all I see it making a guine.,sadness,surprise
I have not seen it.,neutral,fear
Still sitting on the couch having a conversation.,neutral,neutral
"But, Marieta, you have also let yourself go.",anger,disgust
"Already, Sandra, but I have a connection.",neutral,disgust
"Is that I understand myself with my eyes,",happiness,fear
"is that it is a person who takes care of me,",happiness,surprise
"is that we are not all day by saying,",neutral,surprise
"is that we interact with colleagues,",neutral,anger
"It is that Sergio listens to me, is that he takes care of me, Sandra.",happiness,surprise
Do you think Gabriela is not taking care of Alex?,surprise,fear
No. Gabriela is waiting for what he is waiting for.,neutral,neutral
Do you think they understand us with their eyes?,neutral,fear
No. I have not seen any look.,neutral,disgust
I have only seen the intertwined languages.,anger,fear
"It is ashamed, it is not even crying.",sadness,sadness
I am ashamed to have introduced this man to my father.,disgust,fear
If you can be called sir.,anger,fear
And that he has sat on my father's couch.,anger,disgust
"I am ashamed, uncle. I'm ashamed.",disgust,fear
"I don't want to get nervous, but it's going to get nervous.",fear,fear
I think they are ...,sadness,disgust
Are they taking care of there?,neutral,happiness
They are there. I will not approach or see it.,fear,fear
We already have it.,neutral,anger
That's it.,neutral,anger
Can you come with me?,neutral,surprise
"Ay, is, is, is, is, is ...",fear,neutral
"Oh, oh, I shit in your motherfucker, I shit.",anger,fear
"My mother, uncle! What a shame, kid!",neutral,anger
What a shame! What a shame!,neutral,neutral
"What a shame, Sandra, really!",neutral,anger
I can't even look at you. What a shame!,neutral,sadness
That this is going to see people! What a shame!,neutral,neutral
"It has not gone or slowly. To the first, there, everything.",sadness,neutral
I'm going to give you everything.,anger,disgust
"What's going, uncle? What's going? What is this, a joke or what?",sadness,disgust
To me who are hesitating me or what?,anger,anger
"The whore Gabriela de los Cups. I shit in the host whore, uncle!",anger,fear
"Love is your boyfriend. No, that is, she doesn't.",sadness,surprise
"It is a vacylon, Sandra, uncle! It is a vacilón!",anger,disgust
Why do you think no?,neutral,fear
It is a vacilón!,anger,surprise
Why do you think Alex has been carried away with Gabriela?,neutral,sadness
Because he has seen my kiss.,surprise,anger
"Besides, is that, right? In addition, arrive from the bonfire.",sadness,surprise
"He arrived and said, my girlfriend has given a kiss, come here.",surprise,surprise
"I am crazy, really, I am crazy.",fear,fear
